cleaned,vector
cadre sympa plein cœur marais crêpe bon idée garniture original  crêpe mériter,"[0.39669865369796753, -0.027581363916397095, 0.07627695798873901, 0.2144010215997696, 0.12909376621246338, -0.4621467590332031, 0.06040416285395622, -0.050127677619457245, -0.3691803216934204, 0.1509789377450943, 0.22541143000125885, -0.09596434980630875, -0.27928492426872253, -0.09235863387584686, 0.03397103399038315, 0.366622656583786, -0.07761538028717041, 0.054633840918540955, -0.10521381348371506, 0.40955618023872375, 0.23402629792690277, 0.3664446175098419, 0.2910415530204773, -0.36303654313087463, -0.17937681078910828, 0.26519182324409485, -0.05942671373486519, 0.0074476818554103374, -0.031199755147099495, -0.13478036224842072, -0.008354729041457176, 0.23065237700939178, -0.008938156068325043, -0.0926840677857399, 0.02695644646883011, -0.04231947660446167, 0.07359614223241806, -0.019616251811385155, -0.006953875999897718, -0.02141323685646057, -0.18955062329769135, 0.019539015367627144, -0.14104394614696503, -0.09475492686033249, 0.14951393008232117, -0.14452888071537018, 0.04304805397987366, -0.1286744624376297, -0.13011272251605988, 0.241375133395195, 0.17568521201610565, 0.12977801263332367, 0.25570422410964966, 0.18951694667339325, 0.1285334676504135, 0.11716781556606293, 0.1763635277748108, -0.05107875168323517, -0.1607401818037033, 0.17883014678955078, -0.07349147647619247, -0.025685345754027367, 0.08792218565940857, 0.012192146852612495]"
aller mailletz occasion anniversaire diner restaurant cabaret devoir super original ,"[0.380520224571228, -0.016808008775115013, 0.06410693377256393, 0.1964586079120636, 0.13503189384937286, -0.4371327757835388, 0.06289337575435638, -0.04211434721946716, -0.37032151222229004, 0.13980576395988464, 0.22367191314697266, -0.0963461846113205, -0.26620718836784363, -0.09315929561853409, 0.03604577109217644, 0.32308080792427063, -0.06143427640199661, 0.03417700529098511, -0.08514747023582458, 0.4195360243320465, 0.24078543484210968, 0.3640602231025696, 0.3004830479621887, -0.3448377251625061, -0.18597857654094696, 0.25988805294036865, -0.04160561412572861, 0.015950918197631836, -0.022326134145259857, -0.1309521198272705, -0.007417457643896341, 0.21160230040550232, -0.02573350816965103, -0.09798795729875565, 0.011122938245534897, -0.04081999510526657, 0.06704124808311462, 0.0037989041302353144, -0.01073755044490099, -0.02677985280752182, -0.16452708840370178, 0.036852460354566574, -0.14072749018669128, -0.08253039419651031, 0.14064261317253113, -0.13068921864032745, 0.05586620047688484, -0.12473507225513458, -0.11105512827634811, 0.23673520982265472, 0.14926981925964355, 0.12702515721321106, 0.23850445449352264, 0.17692291736602783, 0.12672314047813416, 0.10516399890184402, 0.17718948423862457, -0.02675158716738224, -0.15964281558990479, 0.169105663895607, -0.05083075165748596, -0.027102436870336533, 0.07903698086738586, 0.017585203051567078]"
 étoile musique soprano violonist pianist top  contre service catastrophique début fin erreur début,"[0.5235190391540527, -0.028129257261753082, 0.11164706200361252, 0.24571307003498077, 0.17083649337291718, -0.6022486686706543, 0.08595693856477737, -0.07563513517379761, -0.5068425536155701, 0.17624151706695557, 0.2746279239654541, -0.12338505685329437, -0.36160382628440857, -0.1246713250875473, 0.03818446397781372, 0.41776832938194275, -0.08323217183351517, 0.05138756334781647, -0.13617675006389618, 0.556447446346283, 0.3161660432815552, 0.4746493101119995, 0.4079689383506775, -0.44405171275138855, -0.23319022357463837, 0.32006868720054626, -0.06590521335601807, 0.013733618892729282, -0.050390616059303284, -0.175078883767128, 0.01086838636547327, 0.2938874065876007, -0.011442954652011395, -0.12480305880308151, -0.003911453299224377, -0.05505070462822914, 0.09861923009157181, -0.015337856486439705, -0.017705047503113747, -0.03573162481188774, -0.22231550514698029, 0.06914253532886505, -0.18770743906497955, -0.1142270416021347, 0.17753027379512787, -0.19960643351078033, 0.05974844843149185, -0.16572876274585724, -0.15617182850837708, 0.3079792559146881, 0.20672670006752014, 0.1488664299249649, 0.3159271478652954, 0.2466743141412735, 0.16060376167297363, 0.13115663826465607, 0.2356886863708496, -0.06713186204433441, -0.22346986830234528, 0.23167842626571655, -0.08688781410455704, -0.05799977108836174, 0.09826646000146866, 0.04637185111641884]"
mauvais expérience éviter  service inexistant aucun accueil donne impression intéresser client  dilettantisme amateurisme,"[0.3145304024219513, 0.0012288044672459364, 0.08930700272321701, 0.18782462179660797, 0.10914335399866104, -0.4173245429992676, 0.07225388288497925, -0.04239146411418915, -0.30832308530807495, 0.12507052719593048, 0.19289779663085938, -0.05961417406797409, -0.23732459545135498, -0.08324530720710754, 0.03724047541618347, 0.24146385490894318, -0.047299131751060486, 0.03693000227212906, -0.08331532031297684, 0.3617389500141144, 0.2023838609457016, 0.30175915360450745, 0.26731574535369873, -0.25920000672340393, -0.1327264904975891, 0.19994191825389862, -0.034240592271089554, 0.01818464882671833, -0.01212533563375473, -0.12000193446874619, 0.004292475059628487, 0.176705002784729, -0.008086961694061756, -0.08763329684734344, 0.003402495291084051, -0.01727728731930256, 0.060316842049360275, 0.013298586942255497, -0.010610473342239857, -0.020012710243463516, -0.14954230189323425, 0.034641534090042114, -0.13389290869235992, -0.06491490453481674, 0.09118340909481049, -0.1126837283372879, 0.05855377018451691, -0.10909029841423035, -0.10662469267845154, 0.18475422263145447, 0.12618371844291687, 0.08313038945198059, 0.19918334484100342, 0.15123209357261658, 0.1027994230389595, 0.06351527571678162, 0.13237813115119934, -0.046741992235183716, -0.1588587760925293, 0.11736614257097244, -0.04870753735303879, -0.030662901699543, 0.042319804430007935, 0.019474584609270096]"
racisme inacceptable menu haut couleur  histoire acteur long discrimination racisme,"[0.5821034908294678, -0.024810727685689926, 0.0920882374048233, 0.30539506673812866, 0.20181763172149658, -0.6810064911842346, 0.10278092324733734, -0.06963243335485458, -0.5696272253990173, 0.20418253540992737, 0.32943299412727356, -0.13948039710521698, -0.4198678433895111, -0.12988999485969543, 0.04678116366267204, 0.4727708101272583, -0.08826065808534622, 0.044545434415340424, -0.13724814355373383, 0.630584716796875, 0.35435813665390015, 0.5416813492774963, 0.4640595316886902, -0.49981623888015747, -0.28583860397338867, 0.38179120421409607, -0.06536095589399338, 0.022315528243780136, -0.05099361389875412, -0.1976539045572281, 0.03641827777028084, 0.3247908651828766, -0.019351640716195107, -0.13602344691753387, 0.008698713034391403, -0.058228060603141785, 0.11743409931659698, -0.005193424876779318, -0.014229091815650463, -0.03540140762925148, -0.23802191019058228, 0.05999188870191574, -0.21577875316143036, -0.13022537529468536, 0.20302775502204895, -0.21781568229198456, 0.08505368232727051, -0.20363891124725342, -0.1739591360092163, 0.3529340326786041, 0.25223860144615173, 0.16423358023166656, 0.3626968562602997, 0.2770399749279022, 0.18327519297599792, 0.16803444921970367, 0.27035510540008545, -0.0636923760175705, -0.28220832347869873, 0.2537800967693329, -0.07645658403635025, -0.05755278095602989, 0.10627815127372742, 0.04413195326924324]"
ok lieu cool travail dingue oui fumoir placard and so what restaurant bien manger,"[0.7009512186050415, -0.05050425976514816, 0.11960146576166153, 0.3526442050933838, 0.24732299149036407, -0.8346579074859619, 0.10575248301029205, -0.0701032280921936, -0.6785343885421753, 0.2689933776855469, 0.39250561594963074, -0.15320925414562225, -0.4876130521297455, -0.1689133495092392, 0.07111798971891403, 0.5788780450820923, -0.1201033964753151, 0.043066464364528656, -0.14026646316051483, 0.7563183903694153, 0.41329872608184814, 0.6565024256706238, 0.5563870072364807, -0.6241343021392822, -0.3186442255973816, 0.4508640170097351, -0.08232945203781128, 0.025374067947268486, -0.04524041712284088, -0.24598951637744904, 0.015196888707578182, 0.38057830929756165, -0.027126284316182137, -0.17713682353496552, 0.048370663076639175, -0.08132471889257431, 0.1345003992319107, -0.006365662440657616, -0.032297585159540176, -0.050695717334747314, -0.305900514125824, 0.05915636196732521, -0.2670983076095581, -0.1516418606042862, 0.23772771656513214, -0.2652277946472168, 0.1025991290807724, -0.2328801155090332, -0.1942603886127472, 0.40682512521743774, 0.3007003664970398, 0.22073224186897278, 0.41097521781921387, 0.3358519375324249, 0.23624813556671143, 0.19062283635139465, 0.30596306920051575, -0.06632815301418304, -0.3114672899246216, 0.31070244312286377, -0.1118062287569046, -0.0587981753051281, 0.12874045968055725, 0.03094114176928997]"
antipathie impolitesse client rare  inutile pouvoir recommander restaurant aucun manière  very rude,"[0.6643001437187195, -0.025213243439793587, 0.1256462037563324, 0.3490680158138275, 0.22212375700473785, -0.7914991974830627, 0.12414132803678513, -0.08345924317836761, -0.6595423221588135, 0.2579944431781769, 0.37704432010650635, -0.1457158625125885, -0.4717858135700226, -0.1619895100593567, 0.059360768646001816, 0.5392412543296814, -0.10438273847103119, 0.057666368782520294, -0.1661846786737442, 0.7400029897689819, 0.4068929851055145, 0.6177629828453064, 0.5333284735679626, -0.5824307203292847, -0.31951263546943665, 0.43149325251579285, -0.06655193120241165, 0.021282291039824486, -0.04478852078318596, -0.23425593972206116, 0.009004699997603893, 0.36524248123168945, -0.016242191195487976, -0.16380254924297333, 0.03446406498551369, -0.06895717978477478, 0.12720833718776703, -0.013137963600456715, -0.03034868650138378, -0.05779349431395531, -0.2876860499382019, 0.05566363409161568, -0.2566092908382416, -0.14116087555885315, 0.2159883975982666, -0.23313049972057343, 0.09728656709194183, -0.216701939702034, -0.1953573077917099, 0.4002320170402527, 0.2820013761520386, 0.19408167898654938, 0.39833924174308777, 0.30615320801734924, 0.21741478145122528, 0.17211511731147766, 0.2867162525653839, -0.0837753564119339, -0.31222134828567505, 0.28664639592170715, -0.1080772802233696, -0.05523798614740372, 0.12439638376235962, 0.011896049603819847]"
véritable piège touriste attirer réduction - fourchette plat servir valoir prix réduire,"[0.4716516435146332, -0.017479395493865013, 0.083992138504982, 0.24331359565258026, 0.16773323714733124, -0.553577184677124, 0.10624410957098007, -0.05422978103160858, -0.47183817625045776, 0.1822890341281891, 0.26336610317230225, -0.10282029211521149, -0.33773115277290344, -0.11373398452997208, 0.036522027105093, 0.37446779012680054, -0.07562874257564545, 0.039149921387434006, -0.10870932042598724, 0.5271633863449097, 0.29403626918792725, 0.44064822793006897, 0.380758672952652, -0.4227197468280792, -0.21838785707950592, 0.31182318925857544, -0.05414830520749092, 0.022120395675301552, -0.05355970561504364, -0.1485898196697235, -0.00182968913577497, 0.2557639181613922, -0.014074983075261116, -0.11926119774580002, -0.0052644032984972, -0.05889056995511055, 0.09674772620201111, 0.0012934632832184434, -0.03254597261548042, -0.031140314415097237, -0.19871681928634644, 0.04474777355790138, -0.1626264452934265, -0.1176515519618988, 0.16397421061992645, -0.17418555915355682, 0.07272017002105713, -0.14115995168685913, -0.14708665013313293, 0.2905959486961365, 0.21456439793109894, 0.1435796022415161, 0.28497472405433655, 0.23008058965206146, 0.14618472754955292, 0.11408359557390213, 0.21158717572689056, -0.0509408675134182, -0.2195771038532257, 0.20244362950325012, -0.07992268353700638, -0.04738309606909752, 0.09300364553928375, 0.02469819411635399]"
fois piment aller  petit devinette rien bien méchant hein  empêche comprendre,"[0.46705925464630127, -0.03777829557657242, 0.09078420698642731, 0.24252378940582275, 0.1785992532968521, -0.5765173435211182, 0.07491060346364975, -0.05475933104753494, -0.4875199496746063, 0.18241901695728302, 0.27177223563194275, -0.11648523807525635, -0.3344544470310211, -0.1128273755311966, 0.03972484916448593, 0.3951748013496399, -0.0752170979976654, 0.03724920377135277, -0.09915933012962341, 0.5088904500007629, 0.29439327120780945, 0.4451688826084137, 0.3852171301841736, -0.4165201187133789, -0.21494710445404053, 0.32340332865715027, -0.04763110727071762, 0.016827886924147606, -0.03988530859351158, -0.17452485859394073, 0.006014291197061539, 0.2622080445289612, -0.017402930185198784, -0.12837834656238556, -0.00011219320731470361, -0.0336957685649395, 0.08103577047586441, 0.0043694255873560905, -0.02105112187564373, -0.03600876033306122, -0.20642544329166412, 0.04311451315879822, -0.17698326706886292, -0.10084753483533859, 0.1620328277349472, -0.17041248083114624, 0.06030336022377014, -0.16047252714633942, -0.14766031503677368, 0.29784783720970154, 0.19514703750610352, 0.1592366248369217, 0.29088202118873596, 0.21237993240356445, 0.16313111782073975, 0.12731142342090607, 0.21747376024723053, -0.04389725998044014, -0.20660442113876343, 0.21637098491191864, -0.08039896935224533, -0.052821315824985504, 0.09453094005584717, 0.010172718204557896]"
if you haver no other choice don' t this was the only restaurant open sunday night in our neighborhood   you are better off going to brasserie,"[1.402553915977478, -0.05371811240911484, 0.2508357763290405, 0.720730721950531, 0.4665670692920685, -1.64717698097229, 0.2532505393028259, -0.1511557251214981, -1.3522356748580933, 0.5533878803253174, 0.7944366335868835, -0.2991166412830353, -0.9940740466117859, -0.30967673659324646, 0.13184420764446259, 1.1399903297424316, -0.2521398961544037, 0.10909812897443771, -0.33491963148117065, 1.5232287645339966, 0.8654559850692749, 1.301476001739502, 1.091124415397644, -1.2095210552215576, -0.6334055662155151, 0.8978845477104187, -0.15907424688339233, 0.0433349609375, -0.11960054188966751, -0.4927208125591278, 0.0019063707441091537, 0.7808626294136047, -0.0477040559053421, -0.33316314220428467, 0.04600385203957558, -0.15809710323810577, 0.23521462082862854, -0.02429880015552044, -0.031439024955034256, -0.08258146792650223, -0.6280547976493835, 0.12308017909526825, -0.5294187068939209, -0.29295533895492554, 0.4657030999660492, -0.5241533517837524, 0.18463216722011566, -0.45188993215560913, -0.42041540145874023, 0.8419727087020874, 0.5998640060424805, 0.4521767795085907, 0.8299736976623535, 0.6369024515151978, 0.4508102536201477, 0.39882978796958923, 0.6081774234771729, -0.17153307795524597, -0.6497752070426941, 0.6062107682228088, -0.19738052785396576, -0.13527777791023254, 0.2640792727470398, 0.047921258956193924]"
repas excellent service déplorable prétentieux vulgaire mieux considérer brasserie,"[0.4319325387477875, -0.017465993762016296, 0.08683183044195175, 0.21848320960998535, 0.1485045850276947, -0.5152564644813538, 0.07431016862392426, -0.06019239127635956, -0.4385162591934204, 0.1664676070213318, 0.23164664208889008, -0.07967497408390045, -0.3181167244911194, -0.10269433259963989, 0.03861970826983452, 0.35638391971588135, -0.0740627646446228, 0.021425781771540642, -0.09757030010223389, 0.48761123418807983, 0.2828177809715271, 0.41312122344970703, 0.34885913133621216, -0.375895231962204, -0.19111067056655884, 0.28391233086586, -0.06458213180303574, 0.012088923715054989, -0.04235686734318733, -0.14790932834148407, 0.004953362978994846, 0.23735709488391876, -0.011714566498994827, -0.11079972982406616, 0.011624368838965893, -0.04774375259876251, 0.07643360644578934, 0.002308045281097293, -0.013479908928275108, -0.02059643343091011, -0.1954711228609085, 0.0479840412735939, -0.16578766703605652, -0.08629178255796432, 0.1408819556236267, -0.15786685049533844, 0.05809502676129341, -0.142211452126503, -0.1306900680065155, 0.2630133032798767, 0.17647014558315277, 0.12899793684482574, 0.26122844219207764, 0.2068120837211609, 0.1303831934928894, 0.14304181933403015, 0.18295589089393616, -0.04977020248770714, -0.19539424777030945, 0.2039288729429245, -0.0816454365849495, -0.055554796010255814, 0.08895579725503922, 0.03477165102958679]"
